word,frequency
plays,2106
looks,2095
's,2086
said,2078
special,2064
instead,2061
actor,2052
money,2052
takes,2049
seem,2044
seeing,2038
audience,2012
later,2005
left,1999
beautiful,1990
excellent,1987
black,1975
idea,1971
fan,1963
himself,1947
shot,1945
along,1943
used,1943
john,1924
completely,1920
version,1911
high,1906
poor,1899
death,1892
simply,1883
night,1880
you're,1878
short,1872
else,1855
nice,1810
read,1801
half,1795
friends,1772
mind,1770
men,1761
help,1761
second,1760
boring,1754
use,1747
wife,1746
kids,1742
stupid,1739
next,1735
enjoy,1733
recommend,1732
need,1728
home,1724
house,1723
try,1722
year,1716
truly,1716
school,1708
couple,1706
given,1704
production,1698
until,1698
either,1696
let,1680
start,1678
s,1672
getting,1670
star,1670
dead,1668
wrong,1663
classic,1660
line,1659
less,1652
rest,1650
full,1638
understand,1638
terrible,1632
came,1632
camera,1630
performances,1629
tell,1628
keep,1625
hollywood,1619
women,1608
sex,1608
budget,1601
awful,1601
remember,1599
itself,1598
perhaps,1580
moments,1568
name,1565
mean,1562
human,1546
went,1539
wonderful,1538
video,1538
top,1536
father,1533
playing,1525
person,1520
definitely,1517
couldn't,1512
absolutely,1503
certainly,1502
often,1495
perfect,1492
gives,1491
doing,1490
guys,1488
others,1483
laugh,1483
early,1481
loved,1480
lines,1480
dialogue,1479
mother,1471
piece,1469
sound,1469
small,1465
episode,1465
title,1462
finally,1454
hope,1447
face,1443
head,1437
sort,1436
several,1430
totally,1427
case,1425
entertaining,1423
overall,1422
liked,1420
friend,1407
worse,1404
entire,1396
become,1394
style,1390
oh,1383
yes,1378
based,1371
written,1370
humor,1366
live,1366
picture,1365
boy,1362
wanted,1357
lead,1351
beginning,1348
game,1347
you'll,1345
mr,1344
lost,1344
seemed,1339
able,1338
final,1338
felt,1337
guess,1337
supposed,1336
called,1328
stars,1327
problem,1327
dark,1320
waste,1317
despite,1313
against,1308
low,1308
children,1308
cinema,1305
care,1300
direction,1290
horrible,1288
fans,1278
example,1274
already,1274
turn,1274
throughout,1271
drama,1266
becomes,1264
days,1252
unfortunately,1248
she's,1245
lives,1245
matter,1236
quality,1235
wants,1233
i'd,1227
won't,1219
under,1216
group,1210
they're,1197
fine,1192
kill,1191
evil,1190
history,1185
gave,1185
act,1185
flick,1178
writing,1174
parts,1174
stuff,1173
white,1171
run,1171
brilliant,1170
side,1170
killed,1166
amazing,1163
enjoyed,1162
expect,1160
works,1157
turns,1157
michael,1155
obviously,1154
tries,1148
favorite,1141
son,1135
myself,1134
says,1131
took,1127
car,1127
eyes,1123
directed,1123
town,1114
past,1113
happens,1113
themselves,1102
girls,1102
highly,1098
heard,1096
thinking,1094
behind,1091
decent,1089
late,1088
city,1088
soon,1085
sometimes,1083
experience,1080
starts,1075
viewer,1071
hilarious,1069
kid,1066
score,1064
coming,1063
genre,1061
looked,1061
etc,1058
except,1058
extremely,1057
heart,1054
told,1054
save,1053
art,1051
hour,1050
robert,1050
killer,1048
cool,1043
lack,1043
wonder,1042
feeling,1040
type,1040
taken,1034
actress,1033
fight,1032
stop,1031
serious,1028
daughter,1027
ok,1027
leave,1025
shown,1022
wouldn't,1021
anyway,1013
simple,1011
chance,1009
god,1009
including,1008
itbr,1007
moment,1006
police,1006
across,1004
complete,1003
david,1002
involved,1001
known,1000
cannot,998
happen,997
opening,992
living,991
particularly,989
saying,987
attempt,986
close,983
strong,982
song,982
violence,979
released,973
blood,973
hell,972
child,971
huge,968
exactly,966
seriously,966
jokes,965
beyond,964
english,961
talent,960
wish,960
obvious,960
usually,959
reality,958
voice,955
please,954
murder,953
order,952
hand,950
happened,948
ago,946
james,946
crap,942
number,939
call,938
roles,937
relationship,936
shots,931
cinematography,929
major,929
possible,929
knew,925
stories,925
cut,925
slow,923
today,923
hit,923
sad,922
hours,922
upon,921
silly,921
words,918
view,914
film's,914
important,912
female,912
none,912
whose,910
taking,909
knows,907
running,906
gore,906
interest,905
documentary,904
turned,902
word,900
hero,899
started,899
ridiculous,897
mostly,895
yourself,895
annoying,890
power,888
career,887
i'll,886
four,885
basically,883
french,881
apparently,881
monster,881
country,879
body,875
change,874
rating,874
dialog,869
cheap,868
attention,867
due,867
alone,866
usual,865
opinion,865
somewhat,865
local,865
ends,865
strange,862
ones,858
husband,858
soundtrack,855
moviebr,851
disappointed,850
add,849
clearly,849
problems,848
talk,848
jack,848
brother,846
television,842
space,840
finds,838
miss,837
happy,837
age,835
novel,835
single,832
room,829
sequence,828
level,827
ten,824
hate,824
aren't,824
talking,823
lots,821
filmed,821
team,819
whether,815
certain,815
review,812
showing,809
tried,809
modern,808
british,807
mention,806
haven't,805
dr,805
tells,803
predictable,802
appears,801
scary,801
above,800
clear,798
sorry,798
giving,795
episodes,793
light,792
events,790
subject,787
suspense,786
moving,785
deal,782
sets,781
surprised,780
among,779
what's,778
bunch,778
enjoyable,777
filmbr,776
george,776
fall,771
gone,771
bring,770
similar,768
within,764
musical,763
kept,763
middle,762
dog,762
message,760
needs,759
buy,758
die,758
romantic,757
dull,756
release,756
falls,756
near,756
greatest,755
stay,755
storyline,754
easily,753
easy,752
okay,752
parents,751
doubt,751
named,749
imagine,748
sequel,748
theme,747
working,747
songs,747
crew,746
typical,744
ways,742
comments,741
entertainment,740
five,735
th,730
means,730
thriller,730
using,730
you've,730
future,729
avoid,729
comic,728
effort,728
earth,728
doctor,727
rent,725
peter,725
brought,724
writer,724
move,724
supporting,724
forget,721
theater,720
realistic,720
deep,720
island,720
editing,719
minute,719
tale,713
viewing,713
reviews,712
elements,709
straight,707
check,706
sister,704
feels,703
believable,703
feature,703
general,702
killing,702
famous,700
scifi,698
viewers,698
sit,697
boys,696
western,694
surprise,693
gay,693
actual,691
nearly,690
hear,688
fantastic,688
open,686
material,685
form,685
somehow,683
eventually,683
situation,682
class,681
leads,681
shame,681
premise,681
expected,679
learn,678
emotional,675
crime,672
period,670
sequences,666
footage,666
herself,665
box,665
imdb,663
forced,662
wait,662
decided,661
truth,661
leaves,660
inside,659
difficult,656
particular,655
points,654
figure,654
unless,654
masterpiece,652
average,651
cheesy,651
previous,651
indeed,651
meet,649
who's,649
atmosphere,648
memorable,648
copy,648
features,644
richard,644
tom,644
needed,644
weak,644
spent,644
personal,643
lady,643
rock,643
begins,642
note,641
hands,640
fast,640
following,640
begin,639
poorly,638
write,638
mystery,638
whom,637
eye,636
otherwise,635
whatever,634
became,634
interested,634
beauty,633
total,633
reading,631
possibly,631
plus,630
hot,628
battle,628
credits,627
water,627
air,627
king,627
effect,626
perfectly,626
follow,625
society,625
let's,625
train,625
sounds,625
lame,623
incredibly,622
meets,622
male,621
question,620
towards,620
keeps,619
result,616
quickly,616
stand,615
superb,614
various,613
dance,613
romance,612
comment,610
red,609
cover,608
background,607
fairly,604
acted,603
laughs,603
sexual,602
wasted,601
front,599
setting,599
unique,598
worked,596
b,595
third,595
'the,595
powerful,594
nor,593
america,591
german,591
weird,591
rich,590
party,590
badly,588
appear,586
animation,585
pay,585
portrayed,582
plenty,581
realize,578
caught,578
business,577
brings,577
dumb,576
crazy,575
clever,575
york,575
laughing,575
screenplay,574
earlier,573
free,573
admit,572
van,572
forward,571
outside,570
mark,570
nature,569
street,569
filmmakers,568
we're,566
cop,566
attempts,565
older,565
deserves,564
large,564
italian,563
oscar,562
william,562
reasons,562
manages,562
escape,561
leading,561
mess,561
writers,560
season,560
alien,560
bill,559
agree,559
ended,559
political,559
ask,559
fire,557
members,556
apart,556
remake,556
joke,555
recently,554
girlfriend,554
fails,554
success,553
gun,553
expecting,553
creepy,552
directing,550
paul,549
la,548
japanese,548
unlike,546
visual,545
fighting,544
development,543
created,543
plain,542
de,541
meant,540
ideas,540
died,538
state,537
pace,535
talented,534
missing,534
waiting,534
company,532
images,531
telling,531
speak,531
present,530
dramatic,530
create,530
stage,529
pure,529
directors,529
cute,529
odd,529
hold,526
slightly,523
considering,523
fit,522
amount,522
produced,522
follows,521
familiar,521
cartoon,519
joe,519
twist,519
secret,519
drug,516
hardly,515
store,514
public,514
alive,513
missed,513
appreciate,513
match,513
younger,508
yeah,508
return,507
baby,507
credit,506
list,506
break,505
uses,505
portrayal,505
gang,505
sees,504
park,504
former,504
entirely,503
incredible,503
college,503
common,502
era,498
cause,498
force,497
villain,496
decides,496
longer,495
biggest,495
further,494
value,494
wrote,494
married,493
century,492
dream,492
likes,492
lee,491
bored,491
brain,491
language,490
popular,490
neither,490
mentioned,490
humour,490
pathetic,490
hair,489
sadly,489
convincing,488
bother,488
compared,488
master,488
recommended,487
decide,487
mad,487
nudity,486
moves,485
producers,485
channel,484
bed,484
dancing,484
trouble,483
vampire,482
science,482
rate,482
situations,481
suddenly,479
involving,479
charles,479
violent,478
fake,478
office,478
project,478
potential,478
filled,478
aside,477
tension,477
choice,476
intelligent,476
soldiers,476
questions,475
meaning,475
pick,474
blue,470
sick,469
road,468
casting,467
honest,467
bizarre,467
garbage,467
spend,466
ed,465
pointless,465
concept,465
depth,464
values,464
barely,464
cold,463
mood,463
focus,463
awesome,461
band,461
available,460
successful,460
control,459
thinks,459
bought,459
flat,459
honestly,458
recent,458
amusing,458
weren't,457
leaving,457
issues,456
fiction,456
exciting,455
fear,455
sweet,454
added,454
journey,453
literally,453
changed,452
sitting,452
bond,452
ultimately,451
respect,450
immediately,450
likely,450
positive,449
consider,449
fair,449
showed,448
impossible,448
genius,448
basic,447
glad,447
culture,446
ability,446
fantasy,445
thanks,445
scott,444
twists,443
solid,442
nobody,442
accent,442
shoot,442
kills,442
giant,441
explain,441
impressive,440
studio,439
camp,439
effective,438
failed,437
changes,437
social,437
cinematic,437
shooting,436
disney,435
somewhere,435
army,435
trash,432
sexy,432
touch,431
south,431
personally,431
chemistry,431
considered,430
surprisingly,430
historical,429
purpose,429
week,429
emotions,428
singing,428
photography,428
spirit,427
audiences,427
chase,427
starring,426
normal,425
beautifully,424
ray,424
land,424
stick,423
suppose,422
subtle,422
nowhere,422
ship,422
presence,421
scenery,421
disturbing,420
taste,420
west,419
remains,419
terms,419
complex,418
government,418
smart,418
walk,416
silent,416
thrown,416
brothers,415
names,415
spoilers,414
lovely,413
radio,413
everybody,413
indian,412
tough,412
constantly,411
jim,411
prison,411
puts,410
edge,410
pieces,410
jones,410
opera,410
books,409
ride,409
loves,408
sam,408
track,408
trip,407
runs,407
conclusion,407
managed,407
vs,407
standard,406
door,406
naked,405
adventure,405
intended,405
innocent,405
race,404
minor,403
win,403
boyfriend,403
stands,402
teen,402
details,401
aspect,400
hey,400
cops,400
terrific,399
adult,398
building,398
plan,398
news,398
soul,398
pass,397
cult,397
bottom,396
frank,396
throw,395
faces,395
zombie,395
notice,394
russian,394
drugs,393
slowly,392
appearance,392
revenge,392
brief,391
generally,391
disappointing,391
makeup,390
utterly,390
places,390
besides,389
chris,389
acts,388
feelings,388
military,388
catch,388
painful,387
hospital,387
impression,387
costumes,387
producer,387
filming,387
location,386
contains,385
thus,385
comedies,385
narrative,384
tone,383
tired,383
date,383
festival,382
finding,382
laughed,382
paris,381
pull,381
laughable,381
hoping,380
presented,380
walking,380
ryan,380
self,379
bruce,379
movie's,378
excuse,378
law,378
hurt,377
mysterious,377
cat,377
won,377
random,377
knowing,376
image,376
natural,376
appeal,375
mainly,375
fell,375
critics,375
sent,374
confusing,374
st,373
rare,373
student,373
london,371
lived,371
adaptation,371
holes,370
adds,369
aspects,369
thank,369
plane,369
touching,368
wild,368
you'd,368
central,367
makers,367
folks,367
sea,367
seemingly,366
students,366
hitchcock,366
lies,365
information,365
suicide,365
emotion,365
fresh,365
machine,365
charming,364
offer,364
thomas,364
victim,364
pictures,363
forever,363
unbelievable,363
charlie,363
themes,363
finish,363
computer,363
flicks,362
pain,362
attack,362
surely,362
content,361
martin,361
kevin,360
stunning,360
outstanding,360
equally,360
suggest,359
opportunity,359
slasher,359
affair,359
allowed,359
answer,358
include,358
agent,358
climax,358
fascinating,357
led,357
spoiler,356
christmas,356
expectations,355
speaking,355
confused,355
loud,355
award,354
timebr,354
wow,353
therefore,353
animated,352
support,352
lets,352
jane,352
million,352
green,351
manner,351
supposedly,350
filmmaking,350
extreme,350
relationships,349
dad,349
club,349
disappointment,349
fully,348
collection,348
impressed,348
grade,348
happening,347
intense,347
lighting,347
lacks,347
magic,347
torture,347
summer,346
rented,346
helps,345
steve,345
detail,344
motion,344
captain,344
returns,344
funniest,344
creative,343
cry,343
gem,343
paid,343
wood,343
billy,343
delivers,342
thats,342
worthy,342
planet,342
onto,342
industry,342
six,341
moral,341
born,341
passion,340
station,340
search,340
detective,340
shouldn't,340
charm,338
mistake,338
reminded,337
grace,337
disaster,337
judge,336
offers,336
ii,336
calls,336
difference,336
phone,336
ground,336
putting,335
developed,335
compare,335
asked,335
process,334
beat,334
share,333
twice,333
forgotten,333
pop,333
rated,333
compelling,332
cgi,332
epic,332
ghost,332
wondering,332
shocking,332
ugly,332
ready,332
picked,331
appeared,331
actions,331
wanting,330
area,330
shock,330
falling,330
christopher,330
stuck,329
extra,329
count,329
ms,329
clich,329
man's,329
harry,328
desert,328
anymore,328
mom,328
anne,328
ben,327
bar,327
becoming,327
helped,327
provides,327
d,327
likable,327
super,327
ahead,326
wearing,326
continue,326
approach,326
sucks,326
drive,325
justice,325
dies,325
absolute,325
quick,325
moved,324
merely,324
color,324
dirty,324
soldier,323
fat,323
key,323
trailer,323
attractive,323
americans,322
porn,322
bits,322
negative,322
teenage,322
flaws,322
creature,322
personality,321
angry,320
mediocre,320
provide,320
turning,320
teacher,320
direct,320
commentary,319
wooden,318
gorgeous,318
boat,318
deliver,317
lover,317
member,316
leader,316
whatsoever,315
mix,315
adults,315
heavy,314
gold,314
listen,314
hasn't,314
followed,313
exception,313
accept,312
games,312
scientist,312
boss,311
dangerous,311
carry,311
accident,310
dying,310
realized,310
victims,310
gags,309
horse,309
captured,309
artistic,309
states,309
plots,309
references,309
tragic,308
physical,308
theatre,308
inspired,308
christian,308
understanding,308
tim,308
spot,308
deserve,307
damn,307
began,307
nasty,307
imagination,307
latter,306
rarely,306
standards,306
willing,306
learned,306
system,306
mike,306
fashion,305
board,305
holds,305
stock,305
actresses,304
memory,304
professional,304
event,304
marriage,304
intriguing,304
seconds,304
clichs,303
independent,303
driving,303
blame,303
moore,303
accurate,302
allow,302
thoroughly,302
introduced,302
mine,301
director's,301
opposite,301
pleasure,301
impact,301
religious,301
jason,300
mary,299
lose,299
sat,299
suspect,299
bloody,298
surprising,298
noticed,298
energy,298
watchable,298
locations,297
generation,297
element,297
monsters,297
favourite,296
golden,296
addition,295
reminds,295
anywhere,295
dreams,295
friendship,294
brown,294
explanation,293
loose,293
describe,293
unknown,293
discover,293
anybody,293
apartment,292
vhs,292
food,292
',292
howard,292
afraid,292
sight,291
national,291
sleep,291
arts,290
struggle,290
wall,290
childhood,289
jean,289
whilst,289
max,289
mrs,289
murders,289
ford,288
tape,288
ie,288
teenagers,288
texas,288
drawn,288
proves,288
memories,287
thembr,287
robin,287
jr,287
comedic,287
crappy,287
clothes,287
fellow,287
redeeming,287
months,286
tears,285
current,285
held,285
tragedy,285
aliens,285
zombies,285
flying,285
priest,285
hated,284
queen,284
hotel,284
don,284
superior,283
necessary,283
wars,283
officer,282
moon,282
intelligence,282
serial,282
danny,282
julie,282
joy,281
occasionally,281
batman,281
smith,281
knowledge,280
magnificent,280
connection,279
brutal,279
limited,279
comparison,279
issue,279
below,279
heads,278
window,278
foreign,278
met,278
jackson,278
pacing,278
trust,277
seven,277
nicely,277
bob,277
responsible,277
cant,277
ordinary,276
mouth,276
sean,276
creating,275
deeply,275
keeping,275
mission,275
starting,275
efforts,274
heroes,274
tony,274
buddy,273
warning,273
johnny,273
unusual,273
church,273
double,273
c,273
filmmaker,273
chinese,272
relate,272
wonderfully,272
conflict,272
treated,272
martial,272
somebody,272
singer,272
hidden,272
australian,272
includes,271
prove,271
murdered,271
lowbudget,271
apparent,271
grand,270
lacking,270
manage,270
shop,270
genuine,270
beach,270
design,270
behavior,269
feet,269
post,269
hits,269
pair,269
vote,269
wind,269
fox,269
animal,269
remarkable,268
build,267
asks,267
bigger,267
price,267
community,267
provided,266
character's,266
length,266
jennifer,266
naturally,265
humanity,265
survive,265
step,265
academy,264
crowd,264
deals,263
gary,263
animals,263
saving,263
fame,263
realism,263
loving,262
evidence,262
scared,262
numerous,262
bright,262
essentially,261
meanwhile,261
ring,261
fights,261
president,260
cars,260
witty,260
player,260
stereotypes,259
sheer,259
insane,259
according,259
frankly,259
protagonist,259
woods,259
twenty,258
deserved,258
one's,258
field,258
players,258
constant,258
floor,258
advice,258
dealing,258
creatures,258
thin,258
morning,258
range,258
stephen,257
eddie,257
today's,257
explained,257
utter,257
engaging,256
humorous,256
loss,256
vision,256
included,256
thisbr,256
grow,256
football,256
frame,256
originally,256
kelly,256
tiny,256
lovers,255
forces,255
hadn't,254
broken,254
bbc,254
alice,254
record,253
aware,253
irritating,253
finest,252
enemy,252
cuts,252
growing,252
smile,252
revealed,252
france,252
whenever,252
criminal,252
village,252
private,252
fly,252
artist,251
mental,251
stewart,251
favor,251
hunter,251
treat,250
soap,250
drag,250
genuinely,250
described,250
bland,250
speech,249
eat,249
cross,249
attitude,249
normally,249
cost,249
crash,249
unnecessary,249
unrealistic,249
rape,248
sisters,248
classics,248
skip,248
larry,247
villains,247
north,247
program,247
remain,247
lord,247
noir,247
zero,247
unable,246
gotten,246
underrated,246
bringing,246
hopes,246
nonsense,246
heck,246
we've,246
dressed,246
lewis,246
capture,245
bomb,245
study,245
regular,245
mixed,245
edited,245
finished,245
rubbish,245
lucky,244
reaction,244
dollars,244
blind,244
psychological,243
network,243
fail,243
involves,243
terror,243
nurse,243
desperate,243
bodies,243
dreadful,243
kick,243
flashbacks,242
discovered,242
terribly,242
kinda,242
levels,242
gory,242
mebr,242
seagal,242
steal,241
commercial,241
empty,241
ran,241
received,241
walked,241
awkward,241
travel,241
numbers,241
mickey,241
international,240
choose,240
faith,240
pulled,240
parody,240
seat,240
reach,240
teenager,240
contrived,240
absurd,240
jerry,240
steven,240
slapstick,239
sell,239
remembered,239
technical,239
miles,239
sucked,239
unfunny,239
driver,238
failure,238
jewish,238
owner,237
ultimate,237
europe,237
wide,237
partner,237
cable,237
site,236
subtitles,236
viewed,236
spectacular,236
native,236
uncle,236
surface,236
rescue,235
anthony,235
core,235
strength,235
pilot,235
henry,235
powers,235
dracula,235
allbr,235
talks,234
destroy,234
legend,234
featuring,234
instance,234
exist,234
sing,234
concerned,234
dennis,234
visuals,234
onebr,234
context,233
visit,233
fault,233
streets,233
thatbr,233
here's,233
humans,233
european,233
brian,233
spanish,233
asian,232
guns,232
asking,232
steals,231
discovers,231
united,231
promise,231
surreal,231
fill,230
decision,230
hopefully,230
talents,230
williams,230
freedom,229
portray,229
wellbr,229
chaplin,229
dogs,229
enter,229
contrast,229
capable,229
toward,229
eating,229
experienced,229
breaks,229
disgusting,229
endless,229
unexpected,228
youth,228
aka,228
recall,228
meeting,228
finale,228
barbara,228
combination,228
individual,228
debut,227
assume,227
chick,227
horribly,227
cash,227
results,227
sympathetic,226
opens,226
twisted,226
skills,226
cares,226
gonna,226
calling,226
lesson,226
graphic,226
truck,226
betty,226
sign,225
table,225
identity,225
shocked,225
continues,225
saved,225
theaters,225
hall,225
dated,225
holmes,225
media,225
jungle,225
bmovie,224
sharp,224
corny,224
scream,224
jump,224
logic,224
spends,224
england,223
cameo,223
heroine,223
drunk,223
strongly,223
fate,222
lane,222
clean,222
delivered,222
quiet,222
eric,222
built,222
believes,222
wayne,222
himbr,221
reviewers,221
teens,221
committed,221
alex,221
shakespeare,221
jeff,221
wolf,221
darkness,220
source,220
alan,220
product,220
screaming,220
walks,219
emotionally,219
correct,219
matt,219
shallow,218
elizabeth,218
grew,218
center,218
ball,218
weeks,218
rental,218
roll,218
turkey,218
standing,217
desire,217
rules,217
creates,217
types,217
roberts,217
decade,217
handsome,217
paper,217
satire,217
tedious,217
facts,216
river,216
contemporary,216
relief,216
tommy,216
patient,216
fish,216
existence,216
higher,216
vampires,216
halloween,216
dubbed,215
extraordinary,215
blow,215
overly,215
thoughts,215
voices,215
ice,215
f,215
rise,214
arthur,214
universal,214
lousy,214
soft,214
gangster,214
trek,214
luck,213
nevertheless,213
portrays,213
winning,213
curious,213
al,213
sheriff,213
families,213
research,213
propaganda,213
reviewer,212
variety,212
insult,212
jimmy,212
joan,212
miniseries,212
lesbian,211
cartoons,211
plans,211
encounter,211
sake,211
they've,211
performed,211
visually,210
recognize,210
westerns,210
round,210
treatment,210
brilliantly,210
ass,210
executed,210
losing,210
majority,210
universe,210
witch,210
ancient,210
send,209
circumstances,209
proper,209
sequels,209
stone,209
nuclear,208
idiot,208
east,208
ages,208
author,208
matters,208
snakes,208
laughter,207
proved,207
r,207
conversation,207
test,207
embarrassing,207
dan,207
qualities,206
sides,206
service,206
praise,206
convince,206
worthwhile,206
suit,206
bank,206
flesh,206
barry,206
latest,206
department,205
depicted,205
till,205
civil,205
prepared,205
theatrical,205
allows,205
factor,205
pity,205
guilty,205
vietnam,205
taylor,205
model,205
pretentious,205
interviews,205
helen,205
studios,204
witness,204
veteran,204
angles,204
storybr,204
sympathy,204
nick,204
formula,203
stereotypical,203
jackie,203
amazingly,203
demon,203
forgot,203
clue,202
demons,202
wise,202
page,202
virtually,202
hunt,202
clichd,202
curse,202
adam,202
perspective,201
children's,201
fits,201
louis,201
suffering,201
featured,201
amateurish,201
largely,200
chief,200
edward,200
skin,200
cruel,200
andor,200
rose,199
saturday,199
uk,199
thankfully,199
excited,199
friday,199
donald,199
kiss,199
stranger,199
destroyed,198
speaks,198
massacre,198
portraying,198
suspenseful,198
spoil,198
produce,198
mask,198
promising,197
influence,197
caused,197
experiences,197
germany,197
depressing,197
relatively,196
arrives,196
southern,196
develop,196
ill,196
guest,196
drop,196
holding,196
reveal,196
extras,196
figured,196
spoof,196
ninja,196
shorts,195
patrick,195
previously,195
traditional,195
target,195
cutting,195
trapped,195
nominated,194
favorites,194
professor,194
dean,194
loses,194
suffers,194
grown,193
breaking,193
stopped,193
rob,193
interview,193
sir,193
candy,193
chosen,193
bothered,193
exploitation,193
ain't,193
kane,193
u,193
religion,193
accidentally,192
regret,192
dude,192
sudden,192
evening,192
coach,192
statement,192
weapons,192
learns,192
roger,192
abuse,192
crying,191
delightful,191
via,191
sun,191
rip,191
ruined,191
prefer,191
wit,191
hearing,191
movement,191
halfway,191
costs,191
tight,190
flight,190
irish,190
marry,190
prime,190
exact,190
tend,190
display,190
granted,190
gratuitous,190
quirky,190
x,190
harsh,190
massive,190
predator,190
directly,189
prior,189
critical,189
scale,189
johnson,189
draw,189
summary,189
scare,189
raised,189
angel,189
lights,189
mountain,189
forth,188
concert,188
endbr,188
pulls,188
pleasant,188
bear,188
abandoned,188
chan,188
heist,188
rule,188
eastwood,188
asleep,188
ted,187
greater,187
renting,187
routine,187
goodbr,187
substance,187
anna,187
entertained,187
mildly,187
regarding,186
african,186
presents,186
mexican,186
unfortunate,186
supernatural,186
deadly,186
required,186
speed,186
ann,186
china,186
sports,185
handled,185
peace,185
racism,185
los,185
hide,185
proud,185
laura,185
robot,185
walker,185
greek,185
karen,185
hole,185
cell,185
awards,184
california,184
chose,184
degree,184
canadian,184
vehicle,184
wear,184
le,184
haunting,183
underground,183
depiction,183
jail,183
dinner,183
satisfying,183
melodrama,183
technology,183
usa,183
painfully,182
believed,182
lifetime,182
effectively,182
serve,182
captures,182
adventures,182
claim,182
flashback,182
belief,182
danger,182
sounded,182
structure,182
devil,182
ripoff,182
choices,181
rough,181
insight,181
deeper,181
account,181
claims,181
expression,181
alright,181
everywhere,181
express,181
continuity,181
gordon,181
drink,180
germans,180
stolen,180
training,180
minds,180
regardless,180
lynch,180
psycho,180
amateur,180
bet,180
accents,180
passed,180
fbi,180
host,180
costume,179
nightmare,179
legendary,179
waybr,179
warm,179
driven,179
screening,179
heaven,179
throws,179
blown,179
appropriate,179
goofy,179
castle,179
india,179
soviet,179
obsessed,179
arms,178
productions,178
herebr,178
junk,178
section,178
urban,178
security,178
killers,178
dave,178
julia,178
chuck,178
accepted,177
separate,177
term,177
excitement,177
assistant,177
overthetop,177
realizes,177
lone,177
letter,177
remotely,177
wwii,177
nonetheless,177
ps,177
paced,177
kong,177
placed,177
flow,177
andy,177
mainstream,177
closing,177
offensive,177
throwing,176
catherine,176
dress,176
task,176
position,176
rights,176
timing,176
wedding,176
wins,176
wilson,176
joseph,176
hired,176
covered,176
brooks,176
touches,175
medical,175
union,175
eg,175
sorts,175
dry,175
heavily,175
ladies,175
status,175
lie,175
perform,175
mob,175
initial,174
hanging,174
